Sentiment	Text
positive	The move is aimed at boosting sales , cost-efficiency and market share in Finland .
neutral	The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .
positive	The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .
positive	The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .
positive	The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .
positive	The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .
positive	This combined with foreign investments creates interesting opportunities for Solteq .
positive	This is Done Logistics ' largest order in Norway , the diversified group said .
positive	This resulted in improved sales figures in Sweden .
neutral	To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .
positive	Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .
positive	Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .
positive	Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .
positive	Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .
positive	We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .
positive	We are now in a position to pursue novel clinical candidates going forward . ''
positive	- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .
positive	`` Consumers have very well received our packed fresh meat .
positive	`` Demand for sports equipment was good in 2005 .
positive	`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''
positive	`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .
positive	`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .
positive	`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .
positive	`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .
positive	`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US .
positive	`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''
positive	`` We 've been feeling quite positive about the region as a whole .
positive	21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .
positive	Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .
positive	Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .
positive	Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .
positive	Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .
positive	Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .
positive	Finnish P+¦yry has been awarded an engineering contract by CFR , the national railway company of Romania .
positive	According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .
positive	As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .
positive	Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .
positive	CEO Erkki J+Ærvinen is happy with the company 's performance in 2010 .
positive	Deliveries have started and the network will be ready for a launch soon .
positive	Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .
positive	EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .
positive	Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .
positive	Exel Composites ' long-term growth prospects remain favourable , however .
positive	fi is developing cooperation in keyword advertising with Microsoft .
positive	Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .
positive	Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .
positive	Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .
neutral	Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .
positive	However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .
positive	Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .
positive	Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .
positive	Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .
positive	Nordea sees a return to positive growth for the Baltic countries in 2011 .
positive	Operating profit improved by 16.7 % to EUR 7.7 mn .
positive	Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .
positive	Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .
positive	Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .
positive	Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .
positive	Previously , the company anticipated its operating profit to improve over the same period .
positive	Productional situation has now improved .
positive	Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .
positive	Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .
positive	Sales VAT inclusive expanded by 19 percent , to 351 million euros .
positive	Strong growth has continued also in China .
positive	Synergy benefits will start to materialise in the second quarter .
positive	Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .
positive	Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .
positive	The ` buy ' recommendation was reiterated .
positive	The aim is to achieve EUR 2.5 mn yearly savings .
positive	The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .
positive	The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .
positive	The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .
neutral	The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .
positive	The EPS improved to EUR0 .38 from EUR0 .27 .
positive	The expansion aims to attract new customers both in Finland and abroad .
positive	The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .
positive	The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .
positive	The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .
positive	The Finnish group anticipates a sales gain of EUR42m after tax and expenses .
positive	The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .
positive	The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .
positive	The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .
positive	The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .
positive	The stock of new machines is reasonably small and new orders bring work .
positive	The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .
positive	These companies will be able to keep their market positions .
positive	This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .
neutral	This lays a foundation for sustainable business development for the long term .
positive	Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .
positive	The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .
positive	These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .
positive	Uponor improved its performance in spite of the decrease in residential construction in the US .
neutral	The inventor was issued U.S. Patent No. .
positive	Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .
neutral	Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .
neutral	Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .
neutral	Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .
neutral	The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .
neutral	`` BG Crane has been a strong partner for Hiab in Australia for many years .
neutral	Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .
neutral	The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .
neutral	Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .
neutral	The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix .
neutral	It 's `` finger-friendly '' , and to my opinion , really fast .
neutral	`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .
neutral	`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .
neutral	A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .
positive	About Marubeni Marubeni Corporation TSE : 8002 ; ADR : MARUY was established in 1858 , and is a core company of Marubeni Group , one of Japan 's leading general trading houses .
neutral	ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community .
neutral	Juha-Pekka Weckstr+¦m has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .
neutral	According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .
neutral	According to the original merger plan , Scanfil would get a 79 % stake in the combined business .
neutral	According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .
neutral	Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs .
neutral	Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .
neutral	Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .
neutral	Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .
neutral	All are welcome .
neutral	Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .
neutral	An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .
neutral	Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .
neutral	At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .
positive	By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .
neutral	Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .
neutral	CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .
neutral	CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .
neutral	cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .
neutral	Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-£323-£6201 USA .
neutral	Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .
neutral	FinancialWire tm is a fully independent , proprietary news wire service .
neutral	Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .
positive	Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -‹ Magazine 's 2011 Teachers ' Choice Award for the Classroom .
neutral	Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .
neutral	Halonen 's office acknowledged receiving the letter but declined comment .
positive	He believes that the soy-oats have a good chance of entering the UK market .
neutral	He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .
neutral	Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .
neutral	However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .
neutral	In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .
neutral	In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .
neutral	Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .
neutral	It also recovers valuable raw material for Kemira 's water chemical production .
neutral	It is necessary to strengthen the company 's operations , however .
neutral	It will use the proceeds from the transaction to achieve its target .
positive	Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results .
positive	Last year , Lemminkainen completed the Kouvola K-supermarket contract .
neutral	Le Lay succeeds Walter G++nter and will be based in Finland .
neutral	Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .
neutral	Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .
neutral	Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .
neutral	Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .
positive	Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .
neutral	Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .
neutral	Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .
neutral	Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .
neutral	Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .
neutral	Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .
neutral	Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .
neutral	Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .
neutral	On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .
neutral	Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .
positive	Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .
neutral	Other potential clients include public administration organizations investing in utility networks and services .
neutral	Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .
positive	Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .
neutral	POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .
neutral	Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .
neutral	Satama and Trainers ' House will remain as names and independent brands of the business areas .
neutral	Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .
positive	Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .
neutral	Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .
positive	Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .
positive	TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .
neutral	The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .
neutral	The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .
neutral	The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .
neutral	The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .
neutral	The company admits that 36 months is a relatively short time when operating in Russia .
neutral	The company has a wide selection of metal products and services .
neutral	The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .
neutral	The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .
neutral	The Court 's decision will also promote genuine competition in services
neutral	The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .
neutral	The device can also be used for theft protection and positioning of vehicles , boats and other assets .
neutral	The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+Æskyl+Æ , Oulu and Vaasa , and to polytechnics to be announced later .
neutral	The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .
neutral	The first phase will be completed by the end of 2012 .
neutral	The guidance has been set at 90 basis points over mid-swaps , the report said .
neutral	The invention carries International Patent Publication No. .
neutral	The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .
neutral	The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .
neutral	The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .
neutral	The issuer is solely responsible for the content of this announcement .
neutral	The issuer is solely responsible for the content of this announcement .
neutral	The market making in accordance with the agreement will begin on September 24 , 2009 .
neutral	The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .
neutral	The ore body is sufficient to support anticipated production for at least 46 years .
neutral	The original patent was filed in Finland under application No. .
neutral	The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .
positive	The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .
neutral	The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .
neutral	The right margin will be viewed separately in detail with every customer .
neutral	The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .
positive	The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .
neutral	The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .
neutral	The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .
neutral	The value of the deal exceeds EUR500 ,000 , the company said .
neutral	This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .
positive	This is the second successful effort for the financial investor this year .
neutral	Travel expenses would be reimbursed in accordance with the travel policy of the company .
neutral	Welcome !
neutral	Wellness services will be important in the future .
neutral	You need to be ready when the window opens up , Rosberg said .
neutral	- Tikkurila inspires you to color your life .
positive	: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .
neutral	CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .
neutral	Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .
positive	` For Nordea , moving into the new headquarters signifies the beginning of a new era .
neutral	` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .
neutral	`` Directors and shareholders alike should ask why these practices were allowed to continue . ''
neutral	`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .
positive	`` I 'm happy with the outcome , '' Sneed said after the hearing .
positive	`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .
positive	`` It allows the young child to move forward with his life . ''
positive	`` Our decision and resolve on MeeGo is only stronger , '' she continued .
neutral	`` The issues identified by Stonesoft affect a range of content inspection technology .
neutral	`` They want my credit card info and my personal details .
neutral	`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .
neutral	`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .
positive	1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .
neutral	A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .
positive	A new production line is being completed for the contract production of hormone treatments .
neutral	A quick `` one-stop-shop '' to understand the company .
neutral	About Dopplr Dopplr is a service for smart travellers .
positive	About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .
positive	About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .
neutral	About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .
neutral	According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .
neutral	Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .
positive	Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .
positive	Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .
neutral	Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .
negative	Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .
neutral	Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .
negative	According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .
neutral	According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .
neutral	According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .
neutral	According to Finnair Technical Services , the measure is above all due to the employment situation .
neutral	According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .
neutral	According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .
neutral	According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .
negative	According to the company , staff will be laid off temporarily when necessary .
neutral	According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .
neutral	According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .
neutral	After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .
neutral	Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .
neutral	Aho is proud of the company 's new product , Lordi-Cola .
neutral	Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences
neutral	ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .
neutral	Also , a seven-year historic analysis is provided for these markets .
neutral	Also , a six-year historic analysis is provided for these markets .
neutral	Also , a six-year historic analysis is provided for this market .
neutral	Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .
neutral	Also Chile is an important market area for forest machine companies .
neutral	Also the traditional grapevine carries a lot of weight .
positive	Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .
positive	Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .
neutral	Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .
neutral	An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .
neutral	An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .
neutral	Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .
neutral	Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .
neutral	As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .
negative	As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .
neutral	As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .
neutral	As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+Ærtsil+Æ with UV technology for ballast water treatment .
neutral	Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .
neutral	At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -“ s shares outstanding .
positive	Atria Group is a leading Scandinavian meat products group .
positive	Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said .
neutral	BasWare Order Matching automatically matches purchase invoices with approved purchase orders .
positive	BG AD , Bulgaria 's leading Internet company .
neutral	Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .
neutral	CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .
neutral	CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .
neutral	Castecka said the town hall would hold talks with other investors interested in the zone .
neutral	Central Europe is an important market area for Honka .
neutral	cents Recognize potential partnerships and suppliers .
positive	Certain shareholders have irrevocably agreed to vote in favor of the bond issue .
neutral	Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .
